# x_m,y_m,w_tr_right_m,w_tr_left_m
3.2056015381122513,-2.2312878208321933,0.62,0.62
3.4177625430620493,-2.175839131579167,0.62,0.62
3.823795798188769,-2.016708012243747,0.62,0.62
4.203262760455774,-1.8042154127624244,0.62,0.62
4.551030333049442,-1.5433824540788947,0.62,0.62
4.861965419156145,-1.239230257136846,0.62,0.62
5.1309349219622575,-0.8967799428799808,0.62,0.62
5.3528057446541535,-0.5210526322519868,0.62,0.62
5.522444790418211,-0.11706944619657378,0.62,0.62
5.583576161608532,0.09481250790533835,0.62,0.62
5.621691974005438,0.26185443194794544,0.62,0.62
5.663423792717202,0.6577836032225974,0.62,0.62
5.663721501782533,1.079302663045155,0.62,0.62
5.622546943037005,1.4723843899940192,0.62,0.62
5.584665242764727,1.6368161567379858,0.62,0.62
5.5234242695576,1.847747209985016,0.62,0.62
5.357280526367455,2.2479205616781073,0.62,0.62
5.142379987141467,2.618443911530129,0.62,0.62
4.882764163096558,2.955291152785648,0.62,0.62
4.582474565449647,3.254436178689218,0.62,0.62
4.245552705417655,3.511852882485403,0.62,0.62
3.8760400942175046,3.723515157418756,0.62,0.62
3.477978243066114,3.885396896733834,0.62,0.62
3.268567367550414,3.944086086517135,0.62,0.62
3.1186361862953955,3.9797609582690967,0.62,0.62
2.818081969950998,4.025320649512661,0.62,0.62
2.518341665652465,4.040850375171285,0.62,0.62
2.221242091896581,4.027370243164402,0.62,0.62
1.9286100671801236,3.9859003614114457,0.62,0.62
1.6422724099998787,3.917460837831854,0.62,0.62
1.3640559388526237,3.823071780345064,0.62,0.62
1.095787472235143,3.7037532968705023,0.62,0.62
0.839293828644216,3.5605254953276138,0.62,0.62
0.5964018265766242,3.3944084836358286,0.62,0.62
0.36893828452915045,3.206422369714584,0.62,0.62
0.15873002099857558,2.9975872614833143,0.62,0.62
-0.03239614551831771,2.768923266861453,0.62,0.62
-0.20261339652475208,2.521450493768441,0.62,0.62
-0.3500949135239413,2.2561890501237016,0.62,0.62
-0.473013878019108,1.974159043846683,0.62,0.62
-0.5235539064537207,1.8265396800811757,0.62,0.62
-0.5623289734922583,1.7040516253109175,0.62,0.62
-0.6154448638621766,1.493027905185052,0.62,0.62
-0.6544058807094117,1.171942881284231,0.62,0.62
-0.6578042647772602,0.8658143323216692,0.62,0.62
-0.655920912872384,0.555009108976769,0.62,0.62
-0.6178335880831494,0.24269796096930918,0.62,0.62
-0.5632357053137973,0.037528293507769206,0.62,0.62
-0.5226296942950324,-0.08418566767833369,0.62,0.62
-0.4652975256738081,-0.24461246067505726,0.62,0.62
-0.32977679553459005,-0.5483760768120831,0.62,0.62
-0.16940981254956888,-0.8314230585721418,0.62,0.62
0.015601847025344284,-1.0935215497893722,0.62,0.62
0.22505660693423657,-1.3344396942979344,0.62,0.62
0.4587528909211933,-1.5539456359319814,0.62,0.62
0.716489122730307,-1.751807518525652,0.62,0.62
0.9980637261056629,-1.9277934859131065,0.62,0.62
1.1487080915166406,-2.0065845588753817,0.62,0.62
1.255624128950176,-2.0578320941799078,0.62,0.62
1.4900733870428713,-2.145376163944313,0.62,0.62
1.7437170307602097,-2.2143731398966082,0.62,0.62
2.0103925776065124,-2.2641498078161746,0.62,0.62
2.2839375450861015,-2.2940329534824073,0.62,0.62
2.5581894507033036,-2.3033493626746875,0.62,0.62
2.8269858119624383,-2.2914258211724174,0.62,0.62
3.0841641463678284,-2.257589114754971,0.62,0.62
3.2056015381122513,-2.2312878208321933,0.62,0.62
